38,97,	0:	13,37%	
74,23,	5:	11,48%	
114,027,	10:	13,80%	
147,703,	15:	23,20%	
180,892,	20:	31,45%	
216,144,	25:	37,14%	
255,015,	30:	38,39%	
296,656,	35:	38,93%	
336,454,	40:	42,95%	
372,734,	45:	42,75%	
409,378,	50:	44,19%	
447,1,	55:	44,77%	
483,861,	60:	47,26%	
520,984,	65:	45,58%	
558,515,	70:	44,40%	
594,19,	75:	49,37%	
627,555,	80:	49,93%	
661,745,	85:	50,64%	
697,094,	90:	51,21%	
734,119,	95:	52,11%	
773,896,	100:	53,85%	
811,787,	105:	52,77%	
852,972,	110:	52,38%	
901,653,	115:	53,91%	
937,398,	120:	51,99%	
973,683,	125:	55,61%	
1012,793,	130:	55,06%	
1048,719,	135:	55,03%	
1086,968,	140:	56,56%	
1121,993,	145:	56,04%	
1156,479,	150:	54,63%	
1190,106,	155:	54,90%	
1228,325,	160:	57,52%	
1263,488,	165:	56,34%	
1326,133,	170:	58,38%	
1392,103,	175:	57,53%	
1429,814,	180:	57,28%	
1466,816,	185:	58,44%	
1502,631,	190:	56,14%	
1542,515,	195:	58,07%	
1575,649,	200:	59,09%	
1610,875,	205:	60,31%	
1645,174,	210:	59,56%	
1685,355,	215:	58,33%	
1721,602,	220:	59,84%	
1756,045,	225:	60,02%	
1796,813,	230:	61,57%	
1834,943,	235:	59,73%	
1876,258,	240:	61,54%	
1916,042,	245:	60,75%	
1954,612,	250:	60,22%	
1987,489,	255:	58,13%	
2023,99,	260:	61,50%	
2058,531,	265:	58,13%	
2098,773,	270:	59,40%	
2135,178,	275:	60,62%	
2171,737,	280:	61,53%	
2208,027,	285:	62,21%	
2244,877,	290:	61,18%	
2278,291,	295:	61,06%	
2314,68,	300:	63,00%	
2352,109,	305:	60,06%	
2393,384,	310:	58,58%	
2423,353,	315:	61,97%	
2455,862,	320:	61,90%	
2489,23,	325:	60,01%	
2519,025,	330:	61,74%	
2554,088,	335:	62,32%	
2586,794,	340:	61,76%	
2618,526,	345:	62,35%	
2653,339,	350:	61,21%	
2686,812,	355:	62,66%	
2719,033,	360:	63,14%	
2752,148,	365:	62,35%	
2785,275,	370:	63,97%	
2816,488,	375:	61,73%	
2850,404,	380:	64,48%	
2881,024,	385:	63,53%	
2913,926,	390:	64,69%	
2946,192,	395:	62,96%	
2977,687,	400:	62,37%	
3011,268,	405:	65,04%	
3041,257,	410:	63,10%	
3073,795,	415:	62,91%	
3104,798,	420:	64,56%	
3135,649,	425:	64,34%	
3168,275,	430:	62,36%	
3201,249,	435:	61,78%	
3234,19,	440:	64,34%	
3265,707,	445:	63,32%	
3298,232,	450:	64,49%	
3330,886,	455:	64,26%	
3363,616,	460:	63,89%	
3395,701,	465:	64,65%	
3428,091,	470:	65,76%	
3460,882,	475:	62,95%	
3492,277,	480:	63,50%	
3524,919,	485:	65,75%	
3556,911,	490:	64,83%	
3587,978,	495:	64,48%	
3620,528,	500:	65,35%	
3650,496,	505:	65,28%	
3682,092,	510:	63,07%	
3713,581,	515:	63,97%	
3745,184,	520:	65,54%	
3777,67,	525:	64,68%	
3809,162,	530:	64,89%	
3842,015,	535:	65,39%	
3874,334,	540:	66,60%	
3906,954,	545:	65,32%	
3938,496,	550:	65,02%	
3970,277,	555:	65,46%	
4001,827,	560:	63,87%	
4034,465,	565:	65,30%	
4065,704,	570:	64,88%	
4098,127,	575:	64,90%	
4130,453,	580:	66,75%	
4162,531,	585:	65,47%	
4194,704,	590:	65,60%	
4227,012,	595:	66,79%	
4259,846,	600:	65,48%	
4291,519,	605:	66,04%	
4323,99,	610:	66,05%	
4356,635,	615:	65,16%	
4389,223,	620:	66,68%	
4420,841,	625:	66,56%	
4452,943,	630:	65,27%	
4485,115,	635:	66,93%	
4518,405,	640:	66,04%	
4551,62,	645:	66,59%	
4585,516,	650:	64,49%	
4618,142,	655:	67,25%	
4649,706,	660:	65,71%	
4681,92,	665:	66,88%	
4712,995,	670:	66,17%	
4744,611,	675:	65,76%	
4775,739,	680:	64,97%	
4806,836,	685:	65,62%	
4838,368,	690:	64,73%	
4869,583,	695:	66,03%	
4900,651,	700:	65,14%	
4931,879,	705:	65,19%	
4964,174,	710:	64,75%	
4995,758,	715:	65,76%	
5028,089,	720:	66,51%	
5059,121,	725:	66,89%	
5092,632,	730:	66,88%	
5123,08,	735:	66,42%	
5156,651,	740:	66,69%	
5190,095,	745:	63,71%	
5224,005,	750:	60,58%	
5255,334,	755:	66,44%	
5288,976,	760:	64,89%	
5320,232,	765:	66,99%	
5351,733,	770:	66,19%	
5383,745,	775:	65,78%	
5416,464,	780:	65,37%	
5446,871,	785:	65,79%	
5479,797,	790:	66,12%	
5513,198,	795:	65,82%	
5544,752,	800:	66,45%	
5576,104,	805:	63,56%	
5606,926,	810:	66,71%	
5636,992,	815:	66,08%	
5669,196,	820:	66,35%	
5700,483,	825:	64,96%	
5731,819,	830:	66,70%	
5763,283,	835:	66,70%	
5796,36,	840:	65,86%	
5829,669,	845:	65,20%	
5862,152,	850:	65,83%	
5894,097,	855:	64,41%	
5925,791,	860:	65,75%	
5957,077,	865:	65,96%	
5988,393,	870:	67,83%	
6022,09,	875:	67,17%	
6056,486,	880:	67,32%	
6088,163,	885:	66,73%	
6120,213,	890:	66,50%	
6152,612,	895:	66,24%	
6184,785,	900:	66,87%	
6217,662,	905:	66,41%	
6248,577,	910:	66,67%	
6279,793,	915:	64,41%	
6310,398,	920:	67,43%	
6342,28,	925:	66,26%	
6372,976,	930:	67,58%	
6405,518,	935:	66,95%	
6438,146,	940:	66,43%	
6469,882,	945:	67,09%	
6501,503,	950:	67,04%	
6531,502,	955:	67,84%	
6565,095,	960:	66,71%	
6596,604,	965:	68,14%	
6628,737,	970:	67,73%	
6659,624,	975:	66,05%	
6693,263,	980:	66,50%	
6724,403,	985:	67,66%	
6757,304,	990:	66,65%	
6790,463,	995:	66,93%	
6822,268,	1000:	65,93%	
6854,431,	1005:	67,60%	
6888,157,	1010:	66,75%	
6918,894,	1015:	67,45%	
6951,208,	1020:	67,47%	
6982,128,	1025:	65,80%	
7013,506,	1030:	65,83%	
7046,022,	1035:	66,86%	
7078,993,	1040:	66,64%	
7111,93,	1045:	66,94%	
7144,26,	1050:	67,99%	
7175,626,	1055:	67,83%	
7207,071,	1060:	67,70%	
7239,609,	1065:	66,35%	
7271,432,	1070:	66,31%	
7300,966,	1075:	67,11%	
7332,195,	1080:	66,71%	
7364,149,	1085:	67,49%	
7395,571,	1090:	67,89%	
7427,701,	1095:	66,71%	
7460,042,	1100:	66,70%	
7491,837,	1105:	67,03%	
7524,972,	1110:	67,30%	
7556,371,	1115:	67,45%	
7589,025,	1120:	66,57%	
7621,247,	1125:	68,02%	
7653,064,	1130:	68,57%	
7684,83,	1135:	67,83%	
7715,819,	1140:	66,80%	
7747,215,	1145:	67,17%	
7781,975,	1150:	66,60%	
7814,002,	1155:	67,90%	
7847,207,	1160:	67,62%	
7879,273,	1165:	67,98%	
7911,87,	1170:	67,63%	
7942,545,	1175:	65,68%	
7974,209,	1180:	67,55%	
8007,725,	1185:	67,72%	
8040,92,	1190:	67,91%	
8074,005,	1195:	67,53%	
8105,166,	1200:	67,90%	
8136,441,	1205:	65,75%	
8169,91,	1210:	66,53%	
8202,641,	1215:	67,73%	
8236,171,	1220:	67,91%	
8270,156,	1225:	68,01%	
8301,937,	1230:	67,73%	
8334,448,	1235:	68,05%	
8367,547,	1240:	67,60%	
8399,709,	1245:	67,14%	
8431,602,	1250:	67,95%	
8462,438,	1255:	66,70%	
8494,957,	1260:	66,53%	
8526,236,	1265:	68,07%	
8558,632,	1270:	66,52%	
8590,583,	1275:	67,64%	
8623,043,	1280:	68,36%	
8656,47,	1285:	67,67%	
8689,592,	1290:	66,00%	
8721,67,	1295:	67,22%	
8754,322,	1300:	67,04%	
8786,828,	1305:	67,39%	
8820,22,	1310:	65,07%	
8852,442,	1315:	66,77%	
8882,985,	1320:	66,39%	
8915,547,	1325:	67,38%	
8948,163,	1330:	66,64%	
8980,22,	1335:	66,06%	
9011,877,	1340:	67,23%	
9042,352,	1345:	66,91%	
9074,089,	1350:	68,03%	
9105,176,	1355:	68,71%	
9136,342,	1360:	68,15%	
9168,14,	1365:	65,95%	
9200,48,	1370:	65,08%	
9232,959,	1375:	67,88%	
9266,163,	1380:	67,34%	
9297,958,	1385:	67,13%	
9329,062,	1390:	67,80%	
9359,409,	1395:	67,59%	
9390,625,	1400:	67,29%	
9422,157,	1405:	67,71%	
9454,28,	1410:	67,97%	
9486,334,	1415:	67,41%	
9519,594,	1420:	65,91%	
9551,663,	1425:	67,17%	
9585,154,	1430:	68,03%	
9616,297,	1435:	67,69%	
9646,91,	1440:	67,34%	
9680,02,	1445:	67,42%	
9710,05,	1450:	67,73%	
9742,469,	1455:	68,99%	
9773,501,	1460:	68,35%	
9804,607,	1465:	67,87%	
9835,948,	1470:	68,42%	
9868,203,	1475:	67,88%	
9899,782,	1480:	67,51%	
9930,887,	1485:	68,24%	
9963,859,	1490:	67,33%	
9995,038,	1495:	68,06%	
10026,193,	1500:	67,63%	
10057,043,	1505:	68,17%	
10087,481,	1510:	68,25%	
10119,876,	1515:	68,05%	
10150,788,	1520:	68,00%	
10183,293,	1525:	67,81%	
10215,315,	1530:	68,26%	
10248,613,	1535:	68,30%	
10280,245,	1540:	67,49%	
10312,724,	1545:	67,24%	
10343,05,	1550:	67,40%	
10374,489,	1555:	65,34%	
10406,68,	1560:	66,43%	
10439,938,	1565:	67,18%	
10471,744,	1570:	68,65%	
10505,63,	1575:	67,15%	
10536,829,	1580:	67,54%	
10569,84,	1585:	68,28%	
10601,833,	1590:	66,99%	
10636,494,	1595:	67,59%	
10668,404,	1600:	68,36%	
10701,426,	1605:	68,44%	
10733,346,	1610:	67,38%	
10765,176,	1615:	68,33%	
10798,795,	1620:	67,96%	
10832,013,	1625:	67,64%	
10863,643,	1630:	67,06%	
10897,039,	1635:	67,82%	
10928,57,	1640:	68,32%	
10959,941,	1645:	67,90%	
10992,417,	1650:	67,42%	
11024,561,	1655:	67,32%	
11056,687,	1660:	68,31%	
11089,567,	1665:	68,36%	
11121,172,	1670:	67,47%	
11154,039,	1675:	67,72%	
11185,828,	1680:	66,11%	
11218,793,	1685:	67,65%	
11250,83,	1690:	68,41%	
11281,931,	1695:	66,71%	
11313,898,	1700:	68,13%	
11346,306,	1705:	68,07%	
11379,532,	1710:	67,54%	
11412,592,	1715:	67,81%	
11444,645,	1720:	67,71%	
11478,365,	1725:	66,23%	
11509,697,	1730:	67,38%	
11540,654,	1735:	68,18%	
11572,497,	1740:	67,35%	
11604,916,	1745:	67,49%	
11638,847,	1750:	67,85%	
11672,303,	1755:	67,47%	
11702,713,	1760:	67,60%	
11734,535,	1765:	67,42%	
11765,644,	1770:	66,95%	
11797,211,	1775:	65,38%	
11829,83,	1780:	67,37%	
11863,298,	1785:	67,75%	
11896,828,	1790:	66,90%	
11927,564,	1795:	67,88%	
11959,527,	1800:	67,80%	
11990,906,	1805:	67,93%	
12022,516,	1810:	67,72%	
12055,185,	1815:	67,64%	
12085,628,	1820:	67,44%	
12118,182,	1825:	66,88%	
12151,017,	1830:	68,10%	
12184,022,	1835:	68,38%	
12214,805,	1840:	67,77%	
12246,689,	1845:	68,11%	
12277,916,	1850:	66,91%	
12311,19,	1855:	67,81%	
12343,121,	1860:	68,31%	
12374,419,	1865:	66,66%	
12405,431,	1870:	67,73%	
12435,576,	1875:	66,43%	
12467,573,	1880:	67,16%	
12498,814,	1885:	65,19%	
12529,533,	1890:	67,34%	
12560,87,	1895:	66,51%	
12594,226,	1900:	65,34%	
12627,638,	1905:	67,54%	
12659,528,	1910:	67,32%	
12692,968,	1915:	67,39%	
12724,764,	1920:	66,66%	
12757,808,	1925:	68,24%	
12789,776,	1930:	66,67%	
12822,569,	1935:	67,25%	
12854,202,	1940:	66,73%	
12886,725,	1945:	66,26%	
12919,171,	1950:	68,01%	
12950,193,	1955:	67,22%	
12982,621,	1960:	67,21%	
13015,437,	1965:	68,22%	
13048,138,	1970:	65,98%	
13078,649,	1975:	66,29%	
13111,554,	1980:	66,85%	
13143,402,	1985:	67,70%	
13174,933,	1990:	67,29%	
13207,712,	1995:	67,97%	
13240,106,	2000:	68,21%	
13272,969,	2005:	68,30%	
13305,809,	2010:	67,43%	
13338,012,	2015:	67,55%	
13370,051,	2020:	66,57%	
13401,438,	2025:	67,12%	
13433,22,	2030:	68,10%	
13466,534,	2035:	67,81%	
13498,426,	2040:	67,34%	
13531,441,	2045:	67,61%	
13564,629,	2050:	68,74%	
13597,878,	2055:	66,83%	
13628,713,	2060:	66,82%	
13660,036,	2065:	67,61%	
13691,894,	2070:	67,33%	
13723,829,	2075:	66,70%	
13756,01,	2080:	67,48%	
13787,907,	2085:	67,50%	
13819,876,	2090:	68,46%	
13853,143,	2095:	67,37%	
13886,732,	2100:	65,61%	
13918,957,	2105:	67,78%	
13950,474,	2110:	67,85%	
13982,869,	2115:	66,95%	
14016,011,	2120:	68,00%	
14048,361,	2125:	67,68%	
14080,124,	2130:	67,19%	
14110,218,	2135:	66,99%	
14141,942,	2140:	67,41%	
14173,371,	2145:	67,75%	
14206,224,	2150:	66,45%	
14236,977,	2155:	67,95%	
14269,113,	2160:	67,44%	
14301,38,	2165:	67,76%	
14334,252,	2170:	66,15%	
14366,158,	2175:	67,83%	
14397,367,	2180:	67,96%	
14429,228,	2185:	67,51%	
14462,481,	2190:	67,48%	
14495,16,	2195:	67,33%	
14528,305,	2200:	66,24%	
14561,109,	2205:	66,03%	
14590,984,	2210:	66,43%	
14623,554,	2215:	68,26%	
14654,594,	2220:	67,87%	
14687,9,	2225:	67,91%	
14720,424,	2230:	67,21%	
14752,575,	2235:	67,40%	
14783,626,	2240:	67,46%	
14814,765,	2245:	67,22%	
14848,718,	2250:	65,96%	
14880,451,	2255:	67,63%	
14913,881,	2260:	67,93%	
14946,871,	2265:	67,89%	
14979,751,	2270:	67,14%	
15013,131,	2275:	65,35%	
15045,039,	2280:	67,55%	
15076,477,	2285:	67,76%	
15107,948,	2290:	67,43%	
15140,321,	2295:	67,41%	
15172,043,	2300:	63,89%	
15202,933,	2305:	66,99%	
15234,348,	2310:	66,93%	
15265,945,	2315:	67,50%	
15298,867,	2320:	67,36%	
15329,343,	2325:	67,48%	
15360,896,	2330:	67,79%	
15392,843,	2335:	67,29%	
15424,75,	2340:	67,96%	
15456,749,	2345:	67,43%	
15490,004,	2350:	66,41%	
15521,715,	2355:	68,32%	
